alder,hourly_salary_plsats_Mean,yearly_hours_Mean,yearly_salary_plsats_Mean,formue_plsats_Mean,pension_u_skat_plsats_Mean,extensive_v2_Mean,rente_pension_sum,indbetalingsprocent_sum,overfor_0,overfor_1,overfor_2
30,233.07140049,1449.2422302,333088.00246,42446.018658,236843.09433,0.8341483964,,0.1241361795,123178.35667,25562.11891,231589.78004
31,239.43258962,1480.0556207,347903.25715,50333.787861,288795.63924,0.8360544089,,0.1266614814,130387.19133,25660.715064,230254.79214
32,245.03635517,1500.0965574,361035.87534,50731.036927,346047.20673,0.8399103404,,0.1287391847,132218.81314,26130.640477,231901.62195
33,250.45437135,1518.7093513,372939.61794,65597.872152,410596.85538,0.8490125922,,0.1304327829,136177.7177,26232.642009,230274.98874
34,255.0451835,1528.6503774,381208.80112,67055.203958,468172.45442,0.8549470889,,0.1308497612,135821.69206,26912.965274,230601.54667
35,258.82509257,1530.9798836,385847.48125,76480.541971,528270.10255,0.8559642417,,0.1326702735,136835.32276,26620.536898,233110.13178
36,264.35886379,1546.8853378,397699.40023,95585.44817,597316.25934,0.8578471825,,0.1339622532,137190.7028,26632.142351,235737.62328
37,266.86201802,1558.1460302,403516.12191,104124.8705,664478.23576,0.8623401561,,0.1348167848,138373.68319,26507.399584,235878.69929
38,271.89754795,1563.6099973,410650.9385,107779.66584,739826.03165,0.8659934442,,0.1359785114,136868.26155,26182.505261,231624.80225
39,276.67354577,1582.0978947,422647.36633,133159.48194,817388.08778,0.8683648998,,0.136613562,136197.75736,25138.884933,232212.78637
40,279.77560328,1590.1446205,428299.24443,151242.56632,887636.97187,0.8687871679,,0.1378658152,133581.49836,24751.662412,230553.24802
41,283.64378688,1596.1076657,436316.64773,167047.99273,972564.66998,0.8741810705,,0.1390516809,133745.97899,24475.687126,229521.55606
42,284.78461973,1600.8942773,436591.58532,184521.23253,1038587.6339,0.8717199645,,0.1397530343,133192.69545,23734.774578,228415.74437
43,287.17868523,1604.109205,440864.47763,203782.40641,1117438.9631,0.8717484658,,0.1411330117,130212.22305,22854.479672,227314.62502
44,288.39332852,1616.4084773,445434.60062,219971.77208,1187623.5552,0.8719031785,,0.1424776639,126312.55129,22250.897419,226038.77661
45,293.00519113,1618.1870388,451609.79649,252907.63279,1279646.8773,0.8720829337,,0.1436034438,123864.4269,21092.710937,226861.99044
46,293.64996446,1623.0344873,453399.09119,266098.80594,1352145.7056,0.8683067141,,0.1441692249,123165.94574,20082.760834,223777.97573
47,294.37159574,1628.666496,456305.13055,286387.70549,1431702.7251,0.8710956012,,0.1446288908,119473.61533,18664.645385,223279.68011
48,295.80542949,1630.3014979,457814.45933,307137.82611,1498094.6376,0.865583243,,0.1457007519,116545.62073,17667.349635,221380.49383
49,295.12658431,1631.0266283,457604.43113,323182.03653,1565683.565,0.8644348386,,0.1458848399,115512.38847,16455.599681,220225.31759
50,294.14944929,1634.160365,456078.40913,348044.4427,1641726.2703,0.8582725434,,0.147470562,113238.53367,15634.078202,217909.40663
51,294.38293874,1631.5604853,455544.90812,362133.42705,1723832.1772,0.8535171804,,0.1463755003,111058.30385,14870.641552,217847.97115
52,293.18553502,1631.6231989,454185.81142,390910.82374,1799005.5813,0.8501027532,,0.1488672908,109568.86786,14088.320615,215998.66846
53,290.28077867,1628.1122191,448327.24415,407517.67973,1869254.2438,0.8448957992,,0.1517111956,107481.04377,13628.943246,215828.45682
54,289.29995212,1629.6295338,444715.50261,433234.2394,1960860.3242,0.8412434555,,0.1520107637,105153.64681,13089.484181,214443.42692
55,286.41150785,1629.436538,440335.59378,448411.96267,2022556.6938,0.8314224196,,0.1534774175,105966.58812,13052.277588,214032.61871
56,284.39377852,1623.2258826,435112.04177,482446.74634,2132063.1417,0.829209721,,0.1556560608,105254.20209,13014.262592,211285.6366
57,279.31058657,1621.3591807,426894.0022,502142.21179,2204994.8465,0.8209177854,,0.1551383498,104095.42855,12939.68399,210719.25676
58,278.40691689,1618.5087355,422894.78198,520738.30476,2319726.0922,0.8137971397,,0.1558819128,102764.26419,12658.34805,210080.98001
59,276.19130615,1615.3905736,418240.77682,550305.13016,2433466.6983,0.8009271182,,0.1576325408,100975.11225,13065.011,209533.26942
60,273.34475881,1608.8873053,411872.6215,568507.35707,2496482.2916,0.7892918008,,0.15561705,105265.55945,13262.259656,192748.14978
61,270.02272367,1603.0254592,404707.85901,595710.93984,2561416.8244,0.774795726,,0.1533660192,104585.18711,13478.663767,181453.92043
62,267.94865059,1597.5754648,399008.26229,611076.73852,2636644.7291,0.7534949258,,0.1649847079,108377.6464,13262.859936,170303.2222
63,277.03288234,1571.2597809,397181.28931,634135.88707,2711966.4528,0.6069729833,,0.1726965929,94143.644721,15490.724688,140672.70135
64,282.82383713,1524.4340995,384864.6615,634056.99037,2744735.0889,0.4718817709,,0.1850802955,82071.441204,21586.989105,162372.1477
65,283.8772,1458.2276994,359077.15158,649191.04347,2686858.2858,0.3763938983,,,,,
66,282.4290349,1247.0960337,290526.40438,656123.14924,2579248.2635,0.2790286108,,,,,
67,280.49997201,1144.4907695,252795.35857,666214.58687,2541602.3498,0.2390672525,,,,,
68,276.83889167,1033.9910502,214678.75027,674128.751,2438977.3672,0.2062126395,,,,,
69,271.24437758,956.796472,186612.82056,653738.16786,2295308.0604,0.1788146793,,,,,
70,271.13709654,870.13715874,160503.56713,658742.67427,2174052.2883,0.155636727,,,,,
71,271.98667864,802.88923077,136045.28165,667746.35543,2101835.268,0.140989236,,,,,
72,264.2744825,775.74033034,120438.10788,666812.69346,1945837.3683,0.1220493478,,,,,
73,269.27299437,703.89151694,107120.55498,667732.74866,1842683.7598,0.1129137125,,,,,
74,262.96456382,676.48586622,95978.964701,655388.5085,1681781.1591,0.1016809899,,,,,
75,258.5061839,596.01436782,77885.214733,656635.0187,1529738.2986,0.0893000805,,,,,
76,259.96433303,583.66291608,72857.685819,679649.53214,1414211.8441,0.079726289,,,,,
77,272.58611638,557.45604048,64805.825523,758068.94282,1150105.363,0.0702863599,,,,,
78,264.51697304,515.60262726,57836.16577,741150.37382,983728.53546,0.0642180819,,,,,
79,257.00546143,497.11269036,53893.22919,703662.19999,875654.59916,0.0561492237,,,,,
80,244.71836779,446.497151,39915.558806,703198.83288,806052.30933,0.0476218858,,,,,
81,246.20548326,454.48306595,42438.490729,715250.73967,748829.36065,0.0423903725,,,,,
82,273.76162276,471.20898876,43762.694322,692375.45855,666756.33912,0.0372023291,,,,,
