year,KOEN,ALDER,FGNF,FGAKTIV,FGA,FGB,FGCX,nettoform_u_pf,FGPASSIV
2018,0,30,233330.46171,664721.29818,483819.33332,83206.643257,97695.321595,135635.14012,431390.83647
2018,0,31,271873.83686,745705.07164,538237.8632,88677.770814,118789.43763,153084.39923,473831.23478
2018,0,32,318665.37526,848889.37811,608708.57836,95669.484498,144511.31525,174154.06001,530224.00285
2018,0,33,356221.55804,923307.82348,657492.33263,98709.437411,167106.05344,189115.5046,567086.26544
2018,0,34,400862.58427,1006577.7487,711163.34248,104971.6475,190442.7587,210419.82557,605715.16442
2018,0,35,457166.33309,1097224.4236,768917.28504,110246.69245,218060.44608,239105.88701,640058.09048
2018,0,36,501622.50942,1163420.1176,802410.31643,114196.12302,246813.6781,254808.83132,661797.60814
2018,0,37,551607.13776,1248321.6789,848687.24309,121341.44122,278292.99457,273314.14319,696714.54112
2018,0,38,611154.02854,1328501.2159,890172.05974,127029.68812,311299.46804,299854.56051,717347.18735
2018,0,39,675469.4478,1426247.8816,943342.37342,139561.31132,343344.19684,332125.25096,750778.43378
2018,0,40,743297.81379,1509415.1781,982090.32836,144340.59744,382984.25232,360313.56147,766117.36432
2018,0,41,798973.84884,1580213.7796,1016071.4584,151003.43045,413138.89067,385834.95816,781239.93072
2018,0,42,869524.66786,1659330.4109,1046629.4658,161602.27764,451098.66742,418426.00044,789805.74302
2018,0,43,936567.02432,1728448.1172,1069066.7355,172599.61571,486781.76603,449785.2583,791881.09288
2018,0,44,1010264.2319,1814110.5277,1108223.266,183930.58021,521956.68154,488307.55035,803846.29583
2018,0,45,1069239.0983,1856943.5326,1109305.4266,190024.7076,557613.39838,511625.69989,787704.43433
2018,0,46,1129280.1212,1927119.8788,1136263.1904,195825.88684,595030.80157,534249.31965,797839.75756
2018,0,47,1186586.328,1981977.2053,1149816.5996,205948.20152,626212.40418,560373.9238,795390.8773
2018,0,48,1223191.5979,1994263.2533,1130865.1252,212523.4112,650874.71688,572316.88104,771071.65541
2018,0,49,1291575.5319,2050474.0197,1143286.4427,220891.22782,686296.34912,605279.18279,758898.48774
2018,0,50,1349218.3584,2096597.312,1146202.2262,225510.54159,724884.54423,624333.81417,747378.95364
2018,0,51,1411762.3237,2161722.6379,1162047.0529,230821.52276,768854.06222,642908.26149,749960.31415
2018,0,52,1472940.5468,2216791.3119,1165794.7114,243699.19791,807297.40257,665643.14419,743850.76514
2018,0,53,1543309.6719,2283237.5493,1184311.8295,251189.63006,847736.08978,695573.58216,739927.87736
2018,0,54,1594294.7951,2306235.5618,1167463.2098,258774.17678,879998.17523,714296.61987,711940.76674
2018,0,55,1674251.8671,2377235.4077,1173667.9895,271274.91098,932292.50727,741959.35984,702983.5406
2018,0,56,1743306.4876,2427468.9212,1174005.2315,279535.35888,973928.33083,769378.15677,684162.43359
2018,0,57,1831541.056,2501075.423,1172026.6986,295172.84404,1033875.8804,797665.17562,669534.36701
2018,0,58,1905068.6407,2554983.8687,1168065.4151,302097.49895,1084820.9546,820247.6861,649915.22793
2018,0,59,1997349.9691,2635768.5199,1178324.6479,316905.49718,1140538.3748,856811.59425,638418.55087
2018,0,60,2071751.5015,2672078.0669,1151458.2902,329699.55204,1190920.2247,880831.2768,600326.56544
2018,0,61,2146973.8709,2730780.5849,1148502.5244,345790.16931,1236487.8912,910485.9797,583806.71406
2018,0,62,2221756.4078,2788017.876,1142837.4011,359431.40572,1285749.0693,936007.33853,566261.46824
2018,0,63,2275497.7064,2810070.4612,1127748.2742,365147.43233,1317174.7547,958322.95172,534572.75479
2018,0,64,2290720.2691,2800038.7938,1107456.4616,367895.26774,1324687.0645,966033.20462,509318.52469
2018,0,65,2299479.6177,2783625.3574,1103615.24,391185.51717,1288824.6003,1010655.0175,484145.73966
2018,0,66,2329189.4566,2805808.3936,1118105.7678,398486.81582,1289215.81,1039973.6466,476618.93702
2018,0,67,2309302.8388,2766145.6692,1118036.8612,401586.03557,1246522.7724,1062780.0664,456842.83042
2018,0,68,2231355.7217,2667064.7242,1095670.074,382805.24181,1188589.4084,1042766.3133,435709.00249
2018,0,69,2199432.2695,2624726.9387,1103422.5233,386269.2224,1135035.193,1064397.0766,425294.66919
2018,0,70,2186312.6879,2604086.5169,1114462.2542,391612.82628,1098011.4364,1088301.2515,417773.82897
2018,0,71,2117582.2293,2519148.4908,1104537.4963,387914.19508,1026696.7995,1090885.4298,401566.26152
2018,0,72,2079151.7818,2471551.8585,1105687.5871,389508.51037,976355.76104,1102796.0208,392400.07668
2018,0,73,1988647.3194,2367475.7918,1081932.9787,387888.43072,897654.38239,1090992.9371,378828.47239
2018,0,74,1908921.6759,2264604.2177,1056545.5019,388754.48472,819304.23116,1089617.4448,355682.54182
2018,0,75,1869928.8867,2206709.9613,1047949.8904,404562.33615,754197.73483,1115731.1519,336781.07461
2018,0,76,1780419.6834,2103608.0214,1035685.1369,466556.96063,601365.92393,1179053.7595,323188.33801
2018,0,77,1651319.4653,1947717.5721,981967.84608,447624.60796,518125.11805,1133194.3472,296398.1068
2018,0,78,1573313.9069,1856026.9616,957610.85459,439355.22172,459060.88524,1114253.0216,282713.05468
2018,0,79,1560245.6093,1821179.7864,943359.0886,447724.81177,430095.88607,1130149.7232,260934.17712
2018,0,80,1510370.936,1750954.3194,914445.13825,437979.64476,398529.53644,1111841.3996,240583.38339
2018,0,81,1449574.8413,1673008.4953,881815.70525,436943.37274,354249.41731,1095325.424,223433.65399
2018,0,82,1410057.9979,1618773.1931,855559.4563,442709.42109,320504.3157,1089553.6822,208715.19516
2018,0,83,1350272.4544,1547005.6012,831020.39024,429149.19681,286836.01418,1063436.4403,196733.14679
2018,0,84,1338989.1262,1528669.5181,821010.5367,446880.06599,260778.91543,1078210.2108,189680.39188
2018,0,85,1307404.6436,1475192.4584,788170.20952,452221.36788,234800.88102,1072603.7626,167787.81484
2018,0,86,1284485.502,1446142.8267,785021.19661,450790.9958,210330.63431,1074154.8677,161657.32471
2018,0,87,1247993.9511,1402509.9643,756142.05636,460399.28951,185968.61838,1062025.3328,154516.01312
2018,0,88,1242079.6644,1385962.4317,742023.70321,473547.59718,170391.13129,1071688.5331,143882.76724
2018,0,89,1206753.5545,1342234.8405,719955.33226,472040.24545,150239.26276,1056514.2917,135481.28598
2018,0,90,1161375.3362,1289528.4439,695842.78202,462061.50736,131624.15456,1029751.1816,128153.10776
2018,0,91,1145211.0781,1256811.2,650430.3402,488708.64838,117672.2114,1027538.8667,111600.12189
2018,0,92,1104846.3325,1228050.1287,634722.63426,491647.46976,101680.02464,1003166.3079,123203.79611
2018,0,93,1088677.191,1188446.006,587771.13032,505753.01531,94921.860344,993755.33066,99768.814974
2018,0,94,1102792.8129,1203142.0594,627725.764,491523.36877,83892.926579,1018899.8863,100349.24648
2018,0,95,993226.4083,1077038.7568,527936.0843,479276.24582,69826.426641,923399.98166,83812.348456
