ALDER,gender,nettoform_u_pf_Mean,pension_assets_Mean,nettoform_u_pf_Std,pension_assets_Std
30,Man,156561.49395,105793.71374,449235.73328,105595.16769
31,Man,176950.14398,128220.46547,477293.02111,127347.81423
32,Man,202666.86221,156757.96852,526672.37851,147210.25881
33,Man,219123.6035,180924.34538,544368.82242,160455.46705
34,Man,239476.09018,205904.86749,574692.74734,178238.08983
35,Man,273231.08427,235245.40974,626394.07123,203047.41386
36,Man,289250.07723,266893.89234,645738.65086,333481.35012
37,Man,314779.06085,299899.27848,691397.70678,244597.57292
38,Man,341182.87483,335573.4848,723914.6382,277404.49127
39,Man,366218.26808,370377.73991,742764.18846,290339.28326
40,Man,401890.21091,415464.16965,796550.11865,322773.75862
41,Man,427948.7921,449571.37281,822134.348,361733.3466
42,Man,460118.08729,490422.40529,852042.78072,451993.8725
43,Man,499689.7599,531748.64422,886871.28464,407884.91278
44,Man,532290.2205,570053.50844,927946.9028,444786.62841
45,Man,551248.9337,611548.2462,947694.21748,509544.20423
46,Man,576079.93427,654472.55932,975790.50354,694992.57248
47,Man,601846.41771,687726.67901,990934.25319,537114.78584
48,Man,610701.34354,715198.81991,1009115.819,582807.12661
49,Man,648669.8516,749269.65335,1038779.6758,610879.61332
50,Man,661916.88593,791373.39314,1056310.447,983883.96328
51,Man,672226.71655,833876.50437,1063091.1079,712905.06554
52,Man,701700.0735,876500.5733,1086474.5701,762989.55172
53,Man,721218.91329,923378.28718,1100535.4697,823623.95815
54,Man,755342.74619,964024.41352,1130357.5806,874526.86153
55,Man,793084.08197,1016882.9886,1161105.2627,920605.06837
56,Man,802705.54845,1056507.6794,1154221.0864,976764.58897
57,Man,826857.33449,1123224.5875,1167781.6433,1000745.3727
58,Man,847311.67976,1185045.3738,1186965.8837,1069216.8913
59,Man,894077.86173,1237644.9064,1207162.1703,1096689.5901
60,Man,931641.00585,1297238.7159,1208597.1409,1235114.2875
61,Man,953837.90228,1345181.8522,1221416.5451,1274934.0872
62,Man,993110.12833,1379756.4643,1234303.3823,1304147.0327
63,Man,1015364.9248,1413947.1069,1244976.0566,1322541.5449
64,Man,1042269.0816,1427840.3323,1260147.8149,1392737.1667
65,Man,1085535.2307,1391581.8192,1264638.1576,1351239.5322
66,Man,1124346.597,1400256.4213,1280962.8687,1405968.5566
67,Man,1155781.2926,1373725.455,1301880.9838,1434560.4254
68,Man,1145351.0219,1319809.5853,1291749.6824,1421812.3014
69,Man,1187983.106,1291207.527,1314720.18,1400053.8332
70,Man,1210329.1077,1253955.2062,1334763.1102,1381089.1643
71,Man,1227981.1362,1196084.2927,1334670.2326,1360460.0046
72,Man,1246653.626,1148808.3962,1356317.2675,1357221.6791
73,Man,1229791.5316,1078693.0286,1349201.1265,1296435.8611
74,Man,1230585.8479,997150.51551,1344352.4888,1269992.8896
75,Man,1266600.5465,927250.46785,1380470.7757,1193793.8121
76,Man,1349662.9491,743022.77162,1436027.8429,982665.59213
77,Man,1301298.8001,647339.69552,1402133.7908,864649.24511
78,Man,1273404.3482,576276.06899,1396184.383,807372.30269
79,Man,1289960.5799,550997.67012,1382450.0532,742667.03956
80,Man,1273597.091,503666.23922,1375804.6859,698985.2375
81,Man,1257987.5545,457040.97817,1372389.269,619873.19299
82,Man,1242030.7986,414507.94976,1357964.3465,581405.84709
83,Man,1218192.129,375405.7401,1359011.7398,533487.09621
84,Man,1218058.4866,347963.40575,1367395.4016,508888.19621
85,Man,1212308.8315,305564.451,1351275.7048,457688.20883
86,Man,1228931.4195,263159.8274,1354897.4474,423105.59833
87,Man,1210570.624,241971.96531,1328729.7392,382391.61958
88,Man,1243542.7237,216244.91856,1370411.8541,348646.75222
89,Man,1218620.6659,195796.42301,1337395.9059,326601.0411
90,Man,1211467.0462,166082.18481,1354587.4871,276837.39624
91,Man,1231769.8363,149384.12464,1356837.854,259564.37786
92,Man,1157064.1311,135456.73878,1309922.1847,247302.93849
93,Man,1161739.3061,127236.58587,1284557.8365,232178.58836
94,Man,1267237.1426,110547.46243,1431241.4452,180454.46329
95,Man,1120622.8101,87407.972662,1292823.5672,157883.15536
