alder,hourly_salary_plsats_Mean,yearly_hours_Mean,yearly_salary_plsats_Mean,formue_plsats_Mean,pension_u_skat_plsats_Mean,extensive_v2_Mean,rente_pension_sum,indbetalingsprocent_sum,overfør_0,overfør_1,overfør_2
30,238.02242519,1435.9483643,334021.76063,141459.923,225889.63345,0.834508302,0.0421569081,0.1205769229,126033.51034,25231.793291,222931.27085
31,243.92527503,1463.0005623,348379.8196,160988.76989,268441.40588,0.8395729878,0.0408559892,0.1236304376,133030.24081,25781.536071,224268.04992
32,249.69975902,1483.98604,360657.0549,183044.2422,312801.13088,0.8431500257,0.0365935296,0.1256591154,135852.48054,25857.766367,225398.4162
33,254.91845764,1500.4075638,371816.51366,204004.04071,358188.58391,0.8481581499,0.0343256318,0.1271628568,137333.6292,26101.98844,225783.01007
34,260.22026659,1517.0360945,382491.4694,230526.28245,406953.31085,0.8525627634,0.0352878283,0.1287731342,138251.43113,26053.622402,226759.95308
35,265.40133857,1531.512307,392651.91683,258224.77438,457201.48674,0.8566300692,0.0338713595,0.1298669496,138479.06043,25736.110713,225134.65621
36,270.03869255,1545.8809477,402083.8617,288285.36229,509727.25349,0.860374162,0.0333323259,0.1310409437,138848.90031,25386.965219,224391.51241
37,274.44663891,1556.9931736,410277.47348,321973.86158,563521.46727,0.8635390126,0.033609739,0.1320187222,138686.49134,24843.460857,223556.76439
38,278.168904,1568.0081617,417856.05027,360629.17634,617313.85082,0.8660309758,0.0292374083,0.133108361,137484.3307,24370.361021,222242.73016
39,281.66668382,1577.8354263,424706.09801,401097.18042,671011.07419,0.8667567741,0.0300785567,0.1337234412,136459.34778,23828.861279,220877.9384
40,284.90749828,1585.0083675,430637.97417,444449.68124,727422.92683,0.8679120758,0.026593431,0.1346823195,135399.0676,23328.045417,220434.00347
41,287.6599545,1592.4039438,435643.25392,488004.42791,783719.4266,0.8686105328,0.0268672047,0.1356063136,134397.8424,22692.744343,219463.34643
42,290.73082831,1600.4129127,441880.43295,532519.27001,841827.08706,0.8689587205,0.0245334802,0.13616439,131841.20702,21894.361047,218916.34731
43,293.10452588,1606.4135582,446245.53494,578460.62906,896189.34869,0.8683422178,0.0226180461,0.1372475155,129503.40292,21043.120046,217342.82356
44,295.28886595,1611.8310564,450634.7871,622458.11284,950842.0758,0.8674362809,0.0223925689,0.1377203285,128056.92426,20045.846718,216268.74553
45,296.55294136,1615.5339043,453111.03262,664758.10263,1002552.7588,0.8652618363,0.0204904088,0.1380210622,125713.41157,19037.118117,214323.29032
46,297.72396858,1620.5681305,455812.68727,706216.60693,1050358.5797,0.8636713113,0.0169201578,0.1385745606,123396.91938,18025.15163,213136.37184
47,298.56246775,1622.5479207,456868.00587,749948.47479,1093323.9399,0.8597861422,0.0157904769,0.1391882829,120842.96405,16890.089071,210887.08333
48,298.20619132,1624.0835278,456700.66619,794787.46614,1136266.0489,0.8557282016,0.0140392442,0.1399090053,119069.41518,15761.996926,209599.5762
49,298.16106764,1627.3085634,456886.49251,847892.99042,1184069.0157,0.8522157758,0.012608727,0.1400672441,116844.55445,14699.48882,208397.73559
50,297.10833156,1626.4543542,455005.98042,895923.23181,1231129.6702,0.847570446,0.0110257432,0.140251949,115065.99403,13953.090483,207366.94935
51,295.9305491,1628.7992997,453392.64115,949632.30725,1279777.2614,0.8444456157,0.0052701471,0.141720481,114026.14945,13211.159971,206021.32356
52,293.58714701,1626.5016481,448696.70817,1009991.4507,1325777.202,0.8401932006,0.0061318515,0.1427465388,112552.51567,12672.77483,204994.81519
53,291.74501688,1624.9662822,444602.30354,1074687.3,1373269.6297,0.8360299311,0.0055170341,0.1433557982,110873.94649,12235.145235,203783.11497
54,289.50644254,1623.0406852,440282.68861,1142031.6081,1417811.9271,0.8307228352,0.0048246796,0.1445728756,109903.74817,11960.792803,202400.1722
55,287.60825392,1622.1633965,436608.56509,1219560.791,1462815.2178,0.8247426298,0.0057068862,0.145495279,108133.00301,11719.703737,200871.00234
56,285.11879135,1620.6889098,431859.3081,1297445.0367,1506356.9535,0.8175457756,0.0062728181,0.1461696805,107206.64345,11456.784204,199503.51986
57,283.50911902,1618.5546726,428451.99503,1373848.2562,1553141.2777,0.8100923268,0.0043232504,0.147114883,105610.45421,11410.646861,198394.26888
58,281.44189839,1616.9635337,424829.7282,1447764.3616,1601431.8294,0.80116898,0.0029679231,0.1471053841,104633.21254,11460.890714,197301.85288
59,279.01793488,1613.8753766,420404.73029,1525781.5722,1650882.1594,0.7937724833,0.0014347226,0.1472150047,104013.15112,11503.956893,195928.07468
60,276.84731206,1609.743642,414791.30368,1601441.365,1689359.8248,0.7702393939,-0.002380481,0.1464795504,106386.51141,11616.942545,173819.19774
61,278.27837702,1609.2694486,413120.4085,1663985.0806,1718476.5895,0.7028066116,0.0005226247,0.145848489,102664.17912,12181.189407,160167.6088
62,284.2543693,1587.4100959,408992.31715,1741018.5653,1736263.1297,0.5866549833,0.0008742251,0.1469693768,93234.194649,14671.147193,151681.7059
63,289.6403447,1541.9031108,394887.6517,1796959.9525,1735091.6888,0.4712213534,0.0008616728,0.1507715092,83523.527227,20109.403769,161727.40976
64,289.01700792,1506.4693729,377257.34434,1828937.0878,1720444.7021,0.4067538967,0.0003091144,0.1510673182,78670.67452,24310.033596,168234.60567
65,292.94201308,1383.8877783,335557.11348,1882800.9298,1676068.3475,0.3082635441,-0.015822439,,,,
66,288.39713431,1205.8154381,274873.55887,1910640.9626,1614626.984,0.2514775568,-0.018137229,,,,
