alder,koen,aar,aargang,count_r1,survive_koen_r1,survive_r1
30,Mand,2018,1988,37768,.99962932,.99968892
30,Kvinde,2018,1988,36170,.99975115,.99968892
31,Mand,2018,1987,36357,.9995324,.99953431
31,Kvinde,2018,1987,34504,.99953628,.99953431
32,Mand,2018,1986,35744,.9993006,.99952716
32,Kvinde,2018,1986,34043,.99976498,.99952716
33,Mand,2018,1985,34553,.9993633,.99951559
33,Kvinde,2018,1985,33575,.99967235,.99951559
34,Mand,2018,1984,33424,.99940163,.99945086
34,Kvinde,2018,1984,32135,.99950212,.99945086
35,Mand,2018,1983,32534,.99907792,.99936181
35,Kvinde,2018,1983,31713,.99965316,.99936181
36,Mand,2018,1982,33355,.99931043,.9994964
36,Kvinde,2018,1982,32171,.99968916,.9994964
37,Mand,2018,1981,32678,.99941856,.99952251
37,Kvinde,2018,1981,32245,.99962783,.99952251
38,Mand,2018,1980,34418,.99889594,.999066
38,Kvinde,2018,1980,34102,.9992376,.999066
39,Mand,2018,1979,35070,.99940121,.99949759
39,Kvinde,2018,1979,34598,.99959534,.99949759
40,Mand,2018,1978,35825,.99893928,.99924266
40,Kvinde,2018,1978,35476,.99954897,.99924266
41,Mand,2018,1977,35467,.99887222,.99920851
41,Kvinde,2018,1977,35285,.99954653,.99920851
42,Mand,2018,1976,36995,.99908096,.99914193
42,Kvinde,2018,1976,36425,.99920386,.99914193
43,Mand,2018,1975,39463,.99853027,.99883813
43,Kvinde,2018,1975,39718,.99914396,.99883813
44,Mand,2018,1974,38963,.99846005,.9987421
44,Kvinde,2018,1974,38946,.99902427,.9987421
45,Mand,2018,1973,38789,.99835002,.9987613
45,Kvinde,2018,1973,38711,.99917334,.9987613
46,Mand,2018,1972,40416,.99821854,.99862742
46,Kvinde,2018,1972,40455,.99903595,.99862742
47,Mand,2018,1971,40196,.99768633,.9981553
47,Kvinde,2018,1971,39491,.99863261,.9981553
48,Mand,2018,1970,38211,.99733061,.99799371
48,Kvinde,2018,1970,38048,.99865961,.99799371
49,Mand,2018,1969,38224,.99709606,.99790138
49,Kvinde,2018,1969,37540,.99872136,.99790138
50,Mand,2018,1968,39650,.99702394,.99764043
50,Kvinde,2018,1968,38754,.99827117,.99764043
51,Mand,2018,1967,42011,.99673897,.99736321
51,Kvinde,2018,1967,41424,.99799633,.99736321
52,Mand,2018,1966,45003,.99640024,.99672431
52,Kvinde,2018,1966,44139,.99705476,.99672431
53,Mand,2018,1965,43327,.99633026,.99675912
53,Kvinde,2018,1965,42760,.99719363,.99675912
54,Mand,2018,1964,42302,.99548483,.99633265
54,Kvinde,2018,1964,41410,.99719876,.99633265
55,Mand,2018,1963,41012,.99544036,.99643511
55,Kvinde,2018,1963,40618,.99743956,.99643511
56,Mand,2018,1962,38509,.9941572,.99530035
56,Kvinde,2018,1962,38305,.99644953,.99530035
57,Mand,2018,1961,37134,.99359077,.99503207
57,Kvinde,2018,1961,37142,.99647301,.99503207
58,Mand,2018,1960,36986,.99264586,.99402988
58,Kvinde,2018,1960,36882,.99541783,.99402988
