year,age,gender,lr_avg,rp_avg,ao_avg,t_pf_avg,count_obs
2018,30,Total,81117.322813,66513.688027,1376.695128,149007.70597,34503
2018,31,Total,96217.027571,79981.684711,1940.6105363,178139.32282,33731
2018,32,Total,116913.16194,94701.169301,2616.1789946,214230.51023,34353
2018,33,Total,134980.48595,106456.98303,3338.9271303,244776.39611,34349
2018,34,Total,152723.58343,117145.45533,4195.2592974,274064.29806,33020
2018,35,Total,174029.35304,132240.20798,5100.4943043,311370.05533,33095
2018,36,Total,195065.79125,141097.08008,5848.8941763,342011.7655,33518
2018,37,Total,218808.85492,153022.22899,6883.5008717,378714.58479,34416
2018,38,Total,239498.67501,170376.13443,7547.6733613,417422.4828,35700
2018,39,Total,260232.52635,184067.61048,8257.7815296,452557.91835,36989
2018,40,Total,287862.98946,198896.18723,9296.1670466,496055.34373,38600
2018,41,Total,306541.73709,209049.77403,10159.327693,525750.83881,38948
2018,42,Total,331748.28382,221595.99383,11064.309196,564408.58685,39690
2018,43,Total,359013.0984,237125.62771,12267.448787,608406.1749,44237
2018,44,Total,381193.71368,252905.73952,12698.666644,646798.11984,43857
2018,45,Total,402883.73811,268617.32647,13809.355936,685310.42052,43682
2018,46,Total,424346.55675,285909.31634,15086.294158,725342.16725,45751
2018,47,Total,439175.37033,305065.40214,16007.340538,760248.11301,46961
2018,48,Total,458073.57273,313350.84674,17326.737161,788751.15663,44571
2018,49,Total,473867.59666,325759.36349,18702.981716,818329.94187,43591
2018,50,Total,497240.75052,338121.46787,20217.911084,855580.12947,44480
2018,51,Total,531693.88874,342172.85079,22675.939641,896542.67917,48013
2018,52,Total,549650.24437,352709.20372,24353.780205,926713.2283,53882
2018,53,Total,593525.6355,363158.60245,27252.599021,983936.83697,51898
2018,54,Total,617848.3084,358792.87258,28989.906277,1005631.0873,50116
2018,55,Total,643755.47983,363249.81015,32647.496412,1039652.7864,49334
2018,56,Total,661706.03016,357492.43366,35948.211659,1055146.6755,45852
2018,57,Total,709771.25596,360481.08898,38521.590927,1108773.9359,45190
2018,58,Total,746571.1551,361350.97054,40500.420139,1148422.5458,44571
2018,59,Total,767822.13476,358215.77998,44586.256199,1170624.1709,42506
2018,60,Total,811805.72252,366371.6021,49139.323152,1227316.6478,40860
2018,61,Total,867569.95626,360669.74751,47293.906981,1275533.6107,40282
2018,62,Total,912890.93462,370077.43171,51570.703371,1334539.0697,40013
2018,63,Total,938635.42242,361211.64975,49589.331015,1349436.4032,37382
2018,64,Total,960567.74692,346810.65415,55484.459789,1362862.8609,35475
2018,65,Total,985107.96406,346609.28289,49693.751001,1381410.998,32221
2018,66,Total,997679.39719,317427.07862,48050.967619,1363157.4434,30512
2018,67,Total,976261.52524,320020.40081,44892.936679,1341174.8627,27100
2018,68,Total,944991.00159,318497.13833,46393.555896,1309881.6958,25771
2018,69,Total,919251.06146,269752.80158,40876.382652,1229880.2457,24453
2018,70,Total,933952.72122,281542.23576,39344.963546,1254839.9205,24058
2018,71,Total,910272.8437,268110.06975,37526.153866,1215909.0673,22981
2018,72,Total,900666.40218,237802.41455,33913.038111,1172381.8548,21831
