ALDER,gender,yearly_hours_Mean,hourly_salary_Mean,yearly_hours_Std,hourly_salary_Std
30,Man,1557.6714689,218.16172556,601.13490409,73.238499284
31,Man,1599.5612961,222.99326236,579.12189498,74.693812661
32,Man,1628.7364679,229.25876046,562.28658284,78.614796575
33,Man,1640.5485342,233.36551209,558.41952374,81.945341822
34,Man,1650.8399402,236.48021002,549.01563973,83.902664862
35,Man,1669.4293812,242.57954929,534.98248356,87.86237032
36,Man,1678.0456926,245.91636959,526.53053669,89.920254793
37,Man,1692.3377407,249.65675296,516.92488181,92.560907681
38,Man,1703.4998457,253.78043587,512.14439287,95.525451905
39,Man,1706.4052021,257.10418562,513.04052264,98.40199141
40,Man,1717.9255171,260.92886991,507.03640431,101.33247698
41,Man,1721.2596443,262.47397639,512.50850612,100.85425973
42,Man,1732.5451343,265.18778352,499.81103682,103.56978506
43,Man,1737.702282,268.3634665,498.67150765,105.00769196
44,Man,1739.2594726,270.04098596,503.22129045,106.76023391
45,Man,1740.7491817,271.17145839,503.25661845,107.14853944
46,Man,1747.382886,272.21391415,497.96452683,108.30271602
47,Man,1747.2816884,273.98476482,499.74080572,110.29799013
48,Man,1749.6981601,273.22052391,498.29912569,110.31943617
49,Man,1746.7338268,272.31752282,506.73546661,109.27383826
50,Man,1738.0220194,272.33004188,516.42626869,110.72922581
51,Man,1745.7199375,271.19980258,508.26960543,109.15093264
52,Man,1740.790103,269.94580527,516.61367662,108.17831082
53,Man,1738.7536364,269.65532805,521.916418,109.43334335
54,Man,1729.55588,266.43399976,524.99573008,106.81610705
55,Man,1725.5448819,265.71137099,536.50778137,105.36482909
56,Man,1720.2216819,261.91494091,529.91784454,103.26299119
57,Man,1714.953624,261.94227401,531.65685578,102.83692276
58,Man,1706.9754353,259.52634989,543.5481213,101.71232257
59,Man,1697.6814702,257.98765277,541.72485424,100.83143129
60,Man,1677.8250038,256.50134812,553.94525295,101.15310546
61,Man,1669.3161196,253.58607877,557.13899102,100.35478238
62,Man,1631.1656661,253.10510478,564.07097647,97.973419427
63,Man,1554.0173499,259.9298877,640.41843941,100.01367087
64,Man,1468.2599651,260.22671665,691.19321078,102.4811347
30,Woman,1429.7059334,198.84696119,606.33521942,61.043448661
31,Woman,1449.2269324,202.51890911,593.28648053,63.497599271
32,Woman,1471.1679817,205.73941123,587.6481817,65.118771362
33,Woman,1493.961483,208.94293898,571.9528996,66.667729145
34,Woman,1506.3482389,211.65385998,562.33433161,68.284622868
35,Woman,1524.6741633,214.94991139,561.43198877,71.790089491
36,Woman,1532.1807854,216.44757263,554.99459095,72.227957293
37,Woman,1552.7900822,219.06983152,548.6083157,74.193360544
38,Woman,1572.665444,221.95266444,541.1779114,76.735375841
39,Woman,1586.6718546,223.68287333,540.0249187,76.896564776
40,Woman,1600.6527287,224.53192582,530.06513576,77.888237742
41,Woman,1606.0429665,225.52722815,536.16965367,77.056634434
42,Woman,1620.5873336,227.34608945,529.18688438,79.552703484
43,Woman,1620.8354654,226.45255376,535.74591468,79.649528861
44,Woman,1637.4260805,230.26750919,522.53531809,83.309764831
45,Woman,1641.0492112,229.97130148,527.79785475,82.621600679
46,Woman,1646.3722328,231.14409504,524.63589977,84.409995145
47,Woman,1650.1210971,231.49361702,532.58448182,84.637889692
48,Woman,1651.5757075,230.54812224,531.31571599,84.759299893
49,Woman,1653.1361987,231.08194909,536.43418795,85.364565023
50,Woman,1655.6287831,229.87250022,534.55315579,83.038018016
51,Woman,1659.3406935,231.17252603,531.99433467,84.278681654
52,Woman,1655.4218914,230.12702674,536.56143306,82.491021563
53,Woman,1655.3924098,229.14163345,533.42829339,81.223973922
54,Woman,1646.8975112,227.77634181,545.69216636,81.031975622
55,Woman,1644.540967,227.05600134,545.85674188,80.08720329
56,Woman,1633.3559156,224.66131822,545.87461126,76.862633852
57,Woman,1634.7559199,224.65990582,541.62504361,76.766366572
58,Woman,1617.9946804,224.11268145,545.82386674,76.819983505
59,Woman,1609.9560092,222.91019011,547.03402166,75.507523245
60,Woman,1592.8124559,221.37717396,548.71882518,74.730854682
61,Woman,1579.9331631,221.03927232,544.42107745,74.175290926
62,Woman,1532.2812159,224.70104124,551.29549527,74.930125326
63,Woman,1425.7542264,236.41128929,656.14594049,82.044194603
64,Woman,1339.073135,241.58680198,690.20056391,88.60645988
30,all,1497.2838214,209.0469809,606.9605867,68.439704274
31,all,1528.6369365,213.33392463,590.62934589,70.381862509
32,all,1554.336218,218.15345951,579.7575981,73.499082943
33,all,1570.4663941,221.68926799,569.65084629,76.015035617
34,all,1582.1943632,224.68562868,560.04557258,77.871986515
35,all,1599.8190383,229.29292241,552.60919882,81.708705769
36,all,1608.0736369,231.7800544,545.25860618,83.223281666
37,all,1624.2944676,234.74260628,537.15240075,85.485032072
38,all,1639.6014445,238.2360249,530.56569528,88.302191464
39,all,1647.6488501,240.70345492,529.8426605,90.06661717
40,all,1659.9849976,242.94637051,521.841931,92.322053713
41,all,1664.1686774,244.16650894,527.51663207,91.732061076
42,all,1677.3317986,246.52569704,517.53930543,94.422121914
43,all,1679.4104848,247.45879487,520.78056304,95.551073231
44,all,1688.4378822,250.19139338,515.46806032,97.819416894
45,all,1691.0736489,250.64347092,518.03034943,97.907780218
46,all,1696.8683872,251.67527527,513.96020529,99.23905926
47,all,1699.1732649,252.94555434,518.54085425,100.69802568
48,all,1700.6930459,251.90872563,517.38039145,100.67369128
49,all,1700.2037052,251.81811169,523.80139151,100.26079713
50,all,1697.1232527,251.254755,527.11041058,100.23983687
51,all,1702.6591892,251.2458831,522.01765848,99.579083976
52,all,1698.1554462,250.05948077,528.39360245,98.248424635
53,all,1697.1518563,249.43679384,529.33253695,98.497658776
54,all,1688.4369191,247.2034881,536.98003767,96.817929398
55,all,1685.0932516,246.40770251,542.70584006,95.572972929
56,all,1676.6343167,243.22187774,539.7296363,92.865050992
57,all,1674.6253622,243.19444175,538.18379184,92.564590718
58,all,1662.4826639,241.81856288,546.4963872,91.851105287
59,all,1653.6184457,240.36883289,546.15708404,90.72729788
60,all,1635.1575095,238.8726505,552.95923439,90.596853985
61,all,1624.4187625,237.23770936,552.59224618,89.669806825
62,all,1581.7393024,238.90762914,559.90358636,88.367672898
63,all,1495.8849197,249.27060199,650.72538209,93.042249114
64,all,1412.6705612,252.20591652,693.70960298,97.192590361
