Variable,ClassVal0,Response,DF,Estimate,StdErr,WaldChiSq,ProbChiSq,_ESTTYPE_
Intercept,,1,1,-0.7169,0.00654,12031.6378,<.0001,MLE
Intercept,,2,1,-5.1418,0.0328,24502.7079,<.0001,MLE
e_state_lag,1,1,1,3.4217,0.00886,149088.014,<.0001,MLE
e_state_lag,1,2,1,1.8250,0.0445,1678.9896,<.0001,MLE
alder,,1,1,-0.0145,0.00105,190.7420,<.0001,MLE
alder,,2,1,0.1293,0.00386,1123.0188,<.0001,MLE
alder2,,1,1,0.000064,0.000035,3.3322,0.0679,MLE
alder2,,2,1,-0.00153,0.000108,201.7092,<.0001,MLE
dummy_60_65,,1,1,-0.1173,0.0124,89.8502,<.0001,MLE
dummy_60_65,,2,1,1.1122,0.0228,2372.2417,<.0001,MLE
alder*e_state_lag,1,1,1,0.0809,0.00141,3317.1894,<.0001,MLE
alder*e_state_lag,1,2,1,-0.2636,0.00506,2716.2326,<.0001,MLE
alder2*e_state_lag,1,1,1,-0.00173,0.000047,1379.0510,<.0001,MLE
alder2*e_state_lag,1,2,1,0.00805,0.000139,3341.3878,<.0001,MLE
dummy_60_*e_state_la,1,1,1,0.3196,0.0160,399.3507,<.0001,MLE
dummy_60_*e_state_la,1,2,1,0.6595,0.0313,443.2885,<.0001,MLE
